alder,tilflytningskommune,fraflytningskommune,årstal,værdi_m,værdi_k
0-4 år,Køge,København,2008,44,30
0-4 år,Køge,København,2009,16,20
0-4 år,Køge,København,2010,23,16
0-4 år,Køge,København,2011,15,17
0-4 år,Køge,København,2012,30,27
0-4 år,Køge,København,2013,27,20
0-4 år,Køge,København,2014,27,28
0-4 år,Køge,København,2015,37,45
0-4 år,Køge,København,2016,41,40
0-4 år,Køge,København,2017,45,33
0-4 år,Lejre,København,2006,22,20
0-4 år,Lejre,København,2007,14,10
0-4 år,Lejre,København,2008,11,13
0-4 år,Lejre,København,2009,13,12
0-4 år,Lejre,København,2010,17,20
0-4 år,Lejre,København,2011,17,13
0-4 år,Lejre,København,2012,17,17
0-4 år,Lejre,København,2013,19,13
0-4 år,Lejre,København,2014,23,16
0-4 år,Lejre,København,2015,22,18
0-4 år,Lejre,København,2016,25,18
0-4 år,Lejre,København,2017,30,36
0-4 år,Roskilde,København,2006,57,66
0-4 år,Roskilde,København,2007,43,46
0-4 år,Roskilde,København,2008,82,53
0-4 år,Roskilde,København,2009,49,52
0-4 år,Roskilde,København,2010,54,67
0-4 år,Roskilde,København,2011,52,47
0-4 år,Roskilde,København,2012,64,50
0-4 år,Roskilde,København,2013,71,59
0-4 år,Roskilde,København,2014,69,70
0-4 år,Roskilde,København,2015,90,74
0-4 år,Roskilde,København,2016,111,91
0-4 år,Roskilde,København,2017,74,85
0-4 år,Solrød,København,2006,23,22
0-4 år,Solrød,København,2007,12,12
0-4 år,Solrød,København,2008,7,10
0-4 år,Solrød,København,2009,13,19
0-4 år,Solrød,København,2010,17,19
0-4 år,Solrød,København,2011,16,19
0-4 år,Solrød,København,2012,15,24
0-4 år,Solrød,København,2013,27,20
0-4 år,Solrød,København,2014,27,23
0-4 år,Solrød,København,2015,28,17
0-4 år,Solrød,København,2016,35,27
0-4 år,Solrød,København,2017,25,25
0-4 år,Faxe,København,2006,30,30
0-4 år,Faxe,København,2007,15,20
0-4 år,Faxe,København,2008,11,14
0-4 år,Faxe,København,2009,9,8
0-4 år,Faxe,København,2010,11,8
0-4 år,Faxe,København,2011,16,9
0-4 år,Faxe,København,2012,14,6
0-4 år,Faxe,København,2013,5,11
0-4 år,Faxe,København,2014,10,11
0-4 år,Faxe,København,2015,19,11
0-4 år,Faxe,København,2016,10,7
0-4 år,Faxe,København,2017,5,13
0-4 år,Guldborgsund,København,2006,11,12
0-4 år,Guldborgsund,København,2007,17,18
0-4 år,Guldborgsund,København,2008,15,12
0-4 år,Guldborgsund,København,2009,7,10
0-4 år,Guldborgsund,København,2010,16,11
0-4 år,Guldborgsund,København,2011,9,8
0-4 år,Guldborgsund,København,2012,5,8
0-4 år,Guldborgsund,København,2013,6,6
0-4 år,Guldborgsund,København,2014,5,8
0-4 år,Guldborgsund,København,2015,13,9
0-4 år,Guldborgsund,København,2016,25,18
0-4 år,Guldborgsund,København,2017,12,12
0-4 år,Holbæk,København,2006,59,54
0-4 år,Holbæk,København,2007,57,33
0-4 år,Holbæk,København,2008,27,24
0-4 år,Holbæk,København,2009,22,24
0-4 år,Holbæk,København,2010,24,29
0-4 år,Holbæk,København,2011,21,20
0-4 år,Holbæk,København,2012,22,15
0-4 år,Holbæk,København,2013,18,18
0-4 år,Holbæk,København,2014,20,19
0-4 år,Holbæk,København,2015,28,17
0-4 år,Holbæk,København,2016,28,25
0-4 år,Holbæk,København,2017,26,27
0-4 år,Kalundborg,København,2006,17,19
0-4 år,Kalundborg,København,2007,20,16
0-4 år,Kalundborg,København,2008,7,10
0-4 år,Kalundborg,København,2009,7,3
0-4 år,Kalundborg,København,2010,1,4
0-4 år,Kalundborg,København,2011,3,1
0-4 år,Kalundborg,København,2012,6,12
0-4 år,Kalundborg,København,2013,9,10
0-4 år,Kalundborg,København,2014,9,9
0-4 år,Kalundborg,København,2015,8,9
0-4 år,Kalundborg,København,2016,9,6
0-4 år,Kalundborg,København,2017,9,7
0-4 år,Lolland,København,2006,12,12
0-4 år,Lolland,København,2007,14,10
0-4 år,Lolland,København,2008,14,8
0-4 år,Lolland,København,2009,9,6
0-4 år,Lolland,København,2010,8,1
0-4 år,Lolland,København,2011,1,3
0-4 år,Lolland,København,2012,1,4
0-4 år,Lolland,København,2013,5,5
0-4 år,Lolland,København,2014,6,6
0-4 år,Lolland,København,2015,2,1
0-4 år,Lolland,København,2016,5,8
0-4 år,Lolland,København,2017,5,4
0-4 år,Næstved,København,2006,47,28
0-4 år,Næstved,København,2007,36,28
0-4 år,Næstved,København,2008,28,22
0-4 år,Næstved,København,2009,13,11
0-4 år,Næstved,København,2010,6,16
0-4 år,Næstved,København,2011,12,13
0-4 år,Næstved,København,2012,18,12
0-4 år,Næstved,København,2013,18,15
0-4 år,Næstved,København,2014,21,9
0-4 år,Næstved,København,2015,20,24
0-4 år,Næstved,København,2016,16,16
0-4 år,Næstved,København,2017,19,33
0-4 år,Odsherred,København,2006,12,8
0-4 år,Odsherred,København,2007,11,8
0-4 år,Odsherred,København,2008,11,18
0-4 år,Odsherred,København,2009,1,4
0-4 år,Odsherred,København,2010,4,0
0-4 år,Odsherred,København,2011,3,3
0-4 år,Odsherred,København,2012,10,5
0-4 år,Odsherred,København,2013,9,5
0-4 år,Odsherred,København,2014,13,13
0-4 år,Odsherred,København,2015,11,6
0-4 år,Odsherred,København,2016,12,13
0-4 år,Odsherred,København,2017,8,8
0-4 år,Ringsted,København,2006,22,26
0-4 år,Ringsted,København,2007,27,29
0-4 år,Ringsted,København,2008,15,14
0-4 år,Ringsted,København,2009,12,12
0-4 år,Ringsted,København,2010,16,12
0-4 år,Ringsted,København,2011,13,20
0-4 år,Ringsted,København,2012,9,15
0-4 år,Ringsted,København,2013,8,10
0-4 år,Ringsted,København,2014,11,7
0-4 år,Ringsted,København,2015,11,17
0-4 år,Ringsted,København,2016,15,11
0-4 år,Ringsted,København,2017,22,19
0-4 år,Slagelse,København,2006,22,29
0-4 år,Slagelse,København,2007,20,22
0-4 år,Slagelse,København,2008,21,10
0-4 år,Slagelse,København,2009,16,15
0-4 år,Slagelse,København,2010,14,12
0-4 år,Slagelse,København,2011,9,12
0-4 år,Slagelse,København,2012,14,14
0-4 år,Slagelse,København,2013,11,16
0-4 år,Slagelse,København,2014,16,16
0-4 år,Slagelse,København,2015,13,23
0-4 år,Slagelse,København,2016,15,11
0-4 år,Slagelse,København,2017,18,14
0-4 år,Sorø,København,2006,27,19
0-4 år,Sorø,København,2007,23,12
0-4 år,Sorø,København,2008,17,11
0-4 år,Sorø,København,2009,6,11
0-4 år,Sorø,København,2010,9,7
0-4 år,Sorø,København,2011,9,5
0-4 år,Sorø,København,2012,12,4
0-4 år,Sorø,København,2013,15,14
0-4 år,Sorø,København,2014,13,8
0-4 år,Sorø,København,2015,20,10
0-4 år,Sorø,København,2016,6,19
0-4 år,Sorø,København,2017,20,15
0-4 år,Stevns,København,2006,12,7
0-4 år,Stevns,København,2007,12,9
0-4 år,Stevns,København,2008,11,2
0-4 år,Stevns,København,2009,4,4
0-4 år,Stevns,København,2010,12,6
0-4 år,Stevns,København,2011,7,2
0-4 år,Stevns,København,2012,4,10
0-4 år,Stevns,København,2013,9,8
0-4 år,Stevns,København,2014,12,8
0-4 år,Stevns,København,2015,8,7
0-4 år,Stevns,København,2016,16,11
0-4 år,Stevns,København,2017,18,13
0-4 år,Vordingborg,København,2006,15,16
0-4 år,Vordingborg,København,2007,12,16
0-4 år,Vordingborg,København,2008,19,12
0-4 år,Vordingborg,København,2009,16,13
0-4 år,Vordingborg,København,2010,10,5
0-4 år,Vordingborg,København,2011,10,10
0-4 år,Vordingborg,København,2012,9,16
0-4 år,Vordingborg,København,2013,15,10
0-4 år,Vordingborg,København,2014,15,12
0-4 år,Vordingborg,København,2015,14,12
0-4 år,Vordingborg,København,2016,9,14
0-4 år,Vordingborg,København,2017,17,20
0-4 år,Assens,København,2006,5,4
0-4 år,Assens,København,2007,5,9
0-4 år,Assens,København,2008,3,4
0-4 år,Assens,København,2009,1,1
0-4 år,Assens,København,2010,1,1
0-4 år,Assens,København,2011,6,0
0-4 år,Assens,København,2012,0,2
0-4 år,Assens,København,2013,0,0
0-4 år,Assens,København,2014,2,4
0-4 år,Assens,København,2015,3,3
0-4 år,Assens,København,2016,1,4
0-4 år,Assens,København,2017,3,4
0-4 år,Faaborg-Midtfyn,København,2006,5,8
0-4 år,Faaborg-Midtfyn,København,2007,6,2
0-4 år,Faaborg-Midtfyn,København,2008,8,4
0-4 år,Faaborg-Midtfyn,København,2009,2,5
0-4 år,Faaborg-Midtfyn,København,2010,3,0
0-4 år,Faaborg-Midtfyn,København,2011,2,3
0-4 år,Faaborg-Midtfyn,København,2012,2,1
0-4 år,Faaborg-Midtfyn,København,2013,4,4
0-4 år,Faaborg-Midtfyn,København,2014,5,6
0-4 år,Faaborg-Midtfyn,København,2015,1,0
0-4 år,Faaborg-Midtfyn,København,2016,3,2
0-4 år,Faaborg-Midtfyn,København,2017,3,5
0-4 år,Kerteminde,København,2006,1,1
0-4 år,Kerteminde,København,2007,3,4
0-4 år,Kerteminde,København,2008,3,2
0-4 år,Kerteminde,København,2009,2,1
0-4 år,Kerteminde,København,2010,1,1
0-4 år,Kerteminde,København,2011,2,2
0-4 år,Kerteminde,København,2012,2,1
0-4 år,Kerteminde,København,2013,1,2
0-4 år,Kerteminde,København,2014,4,1
0-4 år,Kerteminde,København,2015,3,1
0-4 år,Kerteminde,København,2016,3,1
0-4 år,Kerteminde,København,2017,5,6
0-4 år,Langeland,København,2006,1,1
0-4 år,Langeland,København,2007,3,3
0-4 år,Langeland,København,2008,1,0
0-4 år,Langeland,København,2009,0,0
0-4 år,Langeland,København,2010,1,0
0-4 år,Langeland,København,2011,0,2
0-4 år,Langeland,København,2012,0,0
0-4 år,Langeland,København,2013,0,2
0-4 år,Langeland,København,2014,0,1
0-4 år,Langeland,København,2015,3,0
0-4 år,Langeland,København,2016,4,1
0-4 år,Langeland,København,2017,1,3
0-4 år,Middelfart,København,2006,2,6
0-4 år,Middelfart,København,2007,6,2
0-4 år,Middelfart,København,2008,4,8
0-4 år,Middelfart,København,2009,3,2
0-4 år,Middelfart,København,2010,4,6
0-4 år,Middelfart,København,2011,2,6
0-4 år,Middelfart,København,2012,1,3
0-4 år,Middelfart,København,2013,3,0
0-4 år,Middelfart,København,2014,12,6
0-4 år,Middelfart,København,2015,3,4
0-4 år,Middelfart,København,2016,6,6
0-4 år,Middelfart,København,2017,11,8
0-4 år,Nordfyns,København,2006,2,2
0-4 år,Nordfyns,København,2007,1,2
0-4 år,Nordfyns,København,2008,2,0
0-4 år,Nordfyns,København,2009,1,1
0-4 år,Nordfyns,København,2010,3,1
0-4 år,Nordfyns,København,2011,0,0
0-4 år,Nordfyns,København,2012,0,1
0-4 år,Nordfyns,København,2013,2,1
0-4 år,Nordfyns,København,2014,0,0
0-4 år,Nordfyns,København,2015,1,1
0-4 år,Nordfyns,København,2016,0,3
0-4 år,Nordfyns,København,2017,1,2
0-4 år,Nyborg,København,2006,8,3
0-4 år,Nyborg,København,2007,11,8
0-4 år,Nyborg,København,2008,5,8
0-4 år,Nyborg,København,2009,2,5
0-4 år,Nyborg,København,2010,1,6
0-4 år,Nyborg,København,2011,5,5
0-4 år,Nyborg,København,2012,4,3
0-4 år,Nyborg,København,2013,2,6
0-4 år,Nyborg,København,2014,3,4
0-4 år,Nyborg,København,2015,8,5
0-4 år,Nyborg,København,2016,4,6
0-4 år,Nyborg,København,2017,7,5
0-4 år,Odense,København,2006,21,23
0-4 år,Odense,København,2007,31,26
0-4 år,Odense,København,2008,22,28
0-4 år,Odense,København,2009,21,13
